transaction_amount,transaction_time,location,device_type,transaction_type,transaction_frequency,past_fraud,fraudulent
33.01,16,2,1,4,4,0,0
17.49,17,1,3,2,48,0,0
38.39,3,4,2,1,45,0,0
92.11,2,3,2,4,12,0,0
15.89,7,5,0,2,28,0,0
15.89,3,5,0,0,37,0,1
97.44,22,6,2,4,3,0,0
43.27,14,4,2,1,28,0,0
12.56,12,3,3,0,29,0,0
34.56,13,0,0,4,20,0,0
12.64,13,4,3,2,2,0,0
12.61,4,5,2,3,37,0,1
25.58,4,3,0,0,1,0,1
2.96,21,6,3,2,46,0,1
3.58,12,2,0,0,47,0,1
11.45,3,1,1,4,36,0,0
7.29,17,0,1,1,44,0,0
27.5,5,6,1,1,42,1,1
8.1,4,6,1,0,18,0,0
4.89,2,6,1,3,9,0,0
86.98,19,1,0,4,37,1,1
16.03,2,5,2,2,25,0,0
21.49,2,3,3,4,41,0,1
4.83,19,2,2,3,19,0,0
11.65,1,7,2,2,25,0,0
22.44,19,2,2,3,49,0,0
6.35,17,0,3,4,15,1,1
29.24,9,1,1,4,46,0,1
11.02,23,2,0,0,26,0,1
15.0,20,0,0,3,46,0,0
11.0,6,4,2,1,20,0,1
128.03,19,0,0,3,3,0,0
19.82,21,4,3,3,25,0,0
6.97,13,1,2,2,21,0,0
45.72,9,1,3,2,34,0,0
5.92,19,3,2,0,38,0,0
24.75,15,3,1,1,24,0,0
2.83,5,1,0,4,41,0,1
5.32,16,3,0,1,25,0,0
24.46,5,5,3,1,1,0,0
42.03,21,6,0,1,29,0,0
23.84,17,2,2,0,32,0,1
17.89,9,2,1,0,47,0,0
14.86,9,7,0,1,1,0,0
4.58,8,2,1,4,35,0,0
9.78,21,2,3,4,16,0,0
12.67,14,5,1,4,32,0,0
57.81,10,5,0,0,47,0,0
28.32,6,6,0,2,15,0,0
3.45,17,1,3,4,5,0,0
27.77,1,3,3,2,10,0,0
13.67,1,6,1,1,22,0,1
10.21,12,7,1,4,43,0,0
37.03,10,2,3,1,8,0,0
56.32,18,3,0,1,15,0,0
50.97,19,7,1,3,20,0,0
8.68,0,6,3,1,25,0,0
14.74,16,2,1,1,12,0,0
27.97,19,6,3,0,26,0,0
53.28,17,2,0,1,4,0,0
12.44,7,4,1,4,26,0,0
16.68,12,0,1,0,10,0,0
6.64,3,2,2,3,48,0,1
6.07,18,4,2,3,15,0,1
45.26,2,4,0,1,5,0,0
77.96,5,4,3,2,32,0,0
18.69,5,0,2,3,32,0,1
54.79,21,5,2,3,22,0,0
28.84,5,2,0,3,22,0,0
10.54,23,6,3,4,12,0,0
28.83,7,3,0,2,11,0,0
93.51,16,5,1,1,24,0,0
19.38,9,0,1,1,43,0,0
96.03,23,3,3,0,45,0,1
1.46,4,0,2,4,41,0,0
45.69,18,4,0,2,16,0,0
21.91,10,4,0,0,16,1,1
14.89,9,7,1,2,1,0,0
22.02,2,1,0,3,23,0,1
2.75,21,4,2,2,28,0,0
16.12,23,3,3,0,32,0,0
28.71,9,4,0,4,36,0,0
88.05,1,1,2,4,37,0,1
11.96,8,7,3,3,3,0,0
8.95,4,1,0,1,13,0,0
12.16,20,5,0,0,28,0,0
50.17,16,3,3,1,28,0,0
27.9,5,0,0,3,45,0,1
11.83,10,2,0,2,24,0,0
33.56,4,5,0,2,13,0,1
22.13,6,5,1,3,24,0,0
52.91,6,2,3,4,5,0,0
9.95,3,3,1,0,17,0,0
14.47,20,0,3,3,12,0,0
13.57,9,5,1,3,49,0,1
4.65,23,1,0,0,18,0,0
27.01,17,2,2,4,33,0,0
26.08,0,0,3,4,31,0,0
20.19,13,6,2,0,34,0,0
15.89,5,5,3,1,30,0,0
4.88,10,0,3,2,45,0,1
13.19,13,1,0,0,32,0,0
14.26,19,3,3,4,10,0,0
9.0,2,3,0,1,31,0,0
17.09,15,2,0,3,35,0,0
30.09,15,1,0,3,15,0,0
132.45,6,2,1,3,27,0,0
23.92,7,5,1,2,27,0,0
25.99,3,2,0,4,1,0,1
18.64,11,6,2,1,12,0,1
2.95,11,2,2,4,4,0,0
19.56,9,2,3,2,23,0,0
21.33,11,5,2,2,34,0,0
235.86,10,1,3,0,23,0,1
16.57,10,0,3,4,19,0,0
27.15,14,0,3,3,20,0,0
19.4,5,6,1,0,20,1,1
6.24,10,2,0,4,29,1,0
62.98,1,5,2,0,13,0,0
42.6,23,5,0,0,28,0,0
44.3,21,4,0,1,24,0,0
8.09,8,0,1,0,22,0,0
81.68,10,5,3,2,22,0,0
4.94,15,1,0,3,40,0,0
36.12,12,2,3,1,11,0,0
179.55,12,3,1,0,8,0,0
7.46,21,0,0,1,32,0,0
11.4,21,7,2,3,24,0,0
22.19,17,7,0,3,12,0,0
12.14,20,0,1,1,49,0,0
4.26,0,6,1,4,40,0,1
21.51,19,3,0,3,21,0,0
6.94,9,1,2,2,3,0,0
32.25,18,7,3,2,39,0,0
8.01,16,0,0,0,45,0,1
94.63,0,2,0,4,18,0,1
9.18,0,3,2,4,42,0,0
14.56,16,3,2,0,6,0,0
45.31,14,7,1,3,36,0,0
5.87,1,0,3,1,45,0,0
25.22,10,3,3,4,15,0,0
74.23,20,6,0,4,49,0,0
4.02,1,2,3,3,45,0,0
24.16,19,5,1,1,15,0,0
26.05,8,2,1,2,38,0,0
43.9,18,7,2,4,44,0,1
5.83,1,0,2,3,24,0,1
5.36,15,3,1,4,7,0,0
33.85,19,2,2,2,9,0,0
27.03,8,5,1,0,11,0,0
25.8,19,4,2,3,16,0,0
28.4,20,6,0,1,7,0,0
10.18,3,2,3,0,25,0,1
25.34,23,2,1,1,14,0,1
26.93,12,6,2,2,1,0,1
9.83,14,6,1,1,20,0,0
129.77,19,0,0,4,28,0,0
32.26,1,3,1,2,49,0,0
6.1,19,3,2,0,38,0,0
38.73,17,0,2,4,34,0,0
7.58,23,6,1,4,9,0,0
44.13,8,5,1,2,48,0,0
